id,eng,frn,ger,spn
99,,,,
100,QUIT OK,QUITTER OK,BEENDEN OK,OK
101,QUIT CANCEL,QUITTER ANNULE,BEENDEN ABBRECHEN,CANCELAR
102,,,,
103,,,,
104,,,,
105,,,,
106,,,,
107,,,,
108,,,,
109,,,,
110,,,,
111,,,,
2048,,,,
2049,,,,
2050,,,,
2051,,,,
2052,,,,
2053,,,,
2054,,,,
2055,,,,
2056,Sqaure Empty,CASE VIDE,FELD LEER,CASILLA VACIA
2057,Can't Remove King,LE ROI NE PEUT ETRE ENLEVE,KANN KÖNIG NICHT ENTFERNEN,NO PUEDE RETIRAR REY
2058,Square Empty,CASE VIDE,FELD LEER,CASILLA VACIA
2059,No pawns on first rank,PAS DE PIONS SUR LA LIGNE 1,KEINE BAUERN IN ERSTER REIHE,NO PEONES EN 1RA FILA
2060,No pawns on eighth rank,PAS DE PIONS SUR LA LIGNE 8,KEINE BAUERN IN ACHTER REIHE,NO PEONES EN 8VA FILA
2061,King on Square,ROI SUR LA CASE,KÖNIG AUF FELD,REY EN CASILLA
2062,King on Square,ROI SUR LA CASE,KÖNIG AUF FELD,REY EN CASILLA
2063,No pawns on first rank,PAS DE PIONS SUR LA LIGNE 1,KEINE BAUERN IN ERSTER REIHE,NO PEONES EN 1RA FILA
2064,No pawns on eighth rank,PAS DE PIONS SUR LA LIGNE 8,KEINE BAUERN IN ACHTER REIHE,NO PEONES EN 8VA FILA
2065,Can't add too many pieces,pas de RAJOUT DE PIECES,ZU VIELE FIGUREN,TIENE DEMASIADAS PIEZAS
2066,,,,
2067,,,,
2068,,,,
2069,,,,
2070,,,,
2071,,,,
2072,,,,
2073,,,,
2074,,,,
2075,,,,
2076,,,,
2077,,,,
2078,,,,
2079,,,,
2080,All moves replayed,FIN DES COUPS JOUES,ALLE ZÜGE NOCH EINMAL GEZEIGT,MOVIDAS FUERON REPETIDAS
2081,All moves taken back,PLUS DE COUPS,ALLE ZÜGE ZURÜCKGENOMMEN,MOVIDAS FUERON ELIMINADAS
2082,,,,
2083,,,,
2084,,,,
2085,,,,
2086,Game ended in checkmate,partie echec et mat,SPIEL ENDETE MIT SCHACHMATT,JUEGO TERMINO: JAQUEMATE
2087,Game ended in stalemate,partie fInie en impasse,SPIEL ENDETE MIT PATT,JUEGO TERMINO EMPATADO
2088,Game ended in a draw,partie nulle,SPIEL ENDETE MIT REMIS,JUEGO TERMINO TABLAS
2089,,,,
2090,,,,
2091,,,,
2092,,,,
2093,,,,
2094,,,,
2095,,,,
2112,,,,
2113,Only one copy may run at once,Un Programe a la fois,Es kam nuv wine Kopie gleichseitig laufen,Only one copy may run at once
2114,,,,
2115,,,,
2116,,,,
2117,,,,
2118,,,,
2119,,,,
2120,,,,
2121,,,,
2122,,,,
2123,It is the computer's turn,a l'ordinateur de jouer,DER COMPUTER IST DRAN,TURNO DE LA COMPUTADORA
2124,,,,
2125,,,,
2126,,,,
2127,,,,
2144,,,,
2145,,,,
2146,,,,
2147,,,,
2148,Draw accepted,Nul accepte,REMIS NACH ABSPRACHE,TABLAS ACORDADAS!
2149,No draw - play on,Nul REFUSE,KEIN NACH ABSPRACHE,TABLAS RECHAZADAS!
2150,,,,
2151,,,,
2152,,,,
2153,,,,
2154,,,,
2155,,,,
2156,,,,
2157,,,,
2158,,,,
2159,,,,
14000,27,26,29,28
14001,"A long time ago in a galaxy far,",Il y a très longtemps dans une,"Vor langer Zeit in einem weit,",Mucho tiempo atrás en una
14002,far away... ,galaxie bien lointaine... ,weit entfernten Sternsystem...,"galaxia muy, muy lejana..."
14003, , ,,
14004, , ,Es herrscht eine Zeit großer,
14005, ,C'est une époque d'intense,Konkurrenz im Sternsystem. Die,
14006,It is a time of great competition,compétition dans la galaxie. Une,geschwächten Truppen des,Es un tiempo de gran competencia
14007,in the Galaxy. An uneasy state of,paix précaire a été établie entre,Galaktischen Emperiums und die,en la galaxia. Un inquietante
14008,peace has been established,les forces affaiblies de l'Empire,immer stärker werdende Allianz,estado de paz ha sido establecido
14009,between the weakened forces of,Galactique et la grandissante,der Rebellen haben einen prekären,entre las fuerzas debilitadas del
14010,the Galactic Empire and the,Alliance des Rebelles. ,Frieden geschlossen. ,Imperio Galáctico y la creciente
14011,growing Rebel Alliance. , ,,Alianza Rebelde. 
14012, ,"En ces temps incertains de trêve,",In dieser unsicheren Zeit der,
14013,During this uncertain period of,les vieux adversaires règlent,Waffenruhe schlichten die,Durante este período incierto de
14014,"truce, the old adversaries settle",leurs différends à travers,gegnerischen Parteien ihre,"tregua, los adversarios viejos"
14015,their differences through the,l'ancien et éternel jeu d'ECHECS.,Streitigkeiten mit Hilfe des aus,resuelven sus diferencias por
14016,"ancient, eternal game of CHESS. ", ,"dem Altertum stammenden, ewigen","medio del antiguo, eterno juego"
14017, ,Leurs grands héros devenus leurs,Spiels SCHACH. ,de AJEDREZ. 
14018,With their greatest heroes as,"champions, l'Empire et les",,
14019,"champions, the Empire and the",Rebelles s'affrontent maintenant,Unter Einsatz ihrer größten,Con sus héroes más grandes como
14020,Rebel Alliance fight battles of,au travers de joutes de l'esprit.,"Helden als Kämpfer, liefern sich","campeones, el Imperio y los"
14021,the mind., ,das Emperium und die Rebellen,Rebeldes luchan batallas de la
14022, ,C'est une toute nouvelle sorte de,Schlachten des Geistes. ,mente. 
14023,It is a new kind of warfare. One,guerre. Celle qui décidera du,,
14024,that will decide the fate of,"sort des planètes, des",Es handelt sich um eine neue Art,Es una nueva modalidad de
14025,"planets, civilizations and the",civilisations et du futur...,der Kriegsführung - und sie wird,combate.  Una que decidirá el
14026,future... ,,die Entscheidung bringen,"destino de planetas,"
14027,,,"über das Schicksal von Planeten,",civilizaciones y el porvenir... 
14028,,,Zivilisationen und der Zukunft...,
14029,,,,
14030,,,,
14031,,,,
14992,,,,
14993,,,,
14994,,,,
14995,,,,
14996,,,,
14997,,,,
14998,,,,
14999,,,,
15000,189,189,189,189
15001,The Software Toolworks',The Software Toolworks',The Software Toolworks',The Software Toolworks'
15002,Star Wars Chess,Star Wars Chess,Star Wars Chess,Star Wars Chess
15003,MPC  version 1.0,MPC  version 1.0,MPC  version 1.0,MPC  version 1.0
15004,,,,
15005,Project Manager,Project Manager,Project Manager,Project Manager
15006,DAVE BRINGHURST,DAVE BRINGHURST,DAVE BRINGHURST,DAVE BRINGHURST
15007,,,,
15008,Programming Team,Programming Team,Programming Team,Programming Team
15009,WYNN BAILEY,WYNN BAILEY,WYNN BAILEY,WYNN BAILEY
15010,DAVID PETCHEY,DAVID PETCHEY,DAVID PETCHEY,DAVID PETCHEY
15011,,,,
15012,Additional Programming,Additional Programming,Additional Programming,Additional Programming
15013,REY CASTRO,REY CASTRO,REY CASTRO,REY CASTRO
15014,RICK HACKBARTH,RICK HACKBARTH,RICK HACKBARTH,RICK HACKBARTH
15015,JEFF CHASEN,JEFF CHASEN,JEFF CHASEN,JEFF CHASEN
15016,MIKE DUFFY,MIKE DUFFY,MIKE DUFFY,MIKE DUFFY
15017,DON LAABS,DON LAABS,DON LAABS,DON LAABS
15018,PAT McCARTHY,PAT McCARTHY,PAT McCARTHY,PAT McCARTHY
15019,,,,
15020,Producer,Producer,Producer,Producer
15021,STEVE  HUTCHINS,STEVE  HUTCHINS,STEVE  HUTCHINS,STEVE  HUTCHINS
15022,,,,
15023,Technical Consultant,Technical Consultant,Technical Consultant,Technical Consultant
15024,DAVID K GOODMAN,DAVID K GOODMAN,DAVID K GOODMAN,DAVID K GOODMAN
15025,,,,
15026,Art Director,Art Director,Art Director,Art Director
15027,VICKI SIDLEY,VICKI SIDLEY,VICKI SIDLEY,VICKI SIDLEY
15028,,,,
15029,Production Coordination,Production Coordination,Production Coordination,Production Coordination
15030,BECCA MARTINSON,BECCA MARTINSON,BECCA MARTINSON,BECCA MARTINSON
15031,,,,
15032,Production Assistant,Production Assistant,Production Assistant,Production Assistant
15033,KENT PARTRIDGE,KENT PARTRIDGE,KENT PARTRIDGE,KENT PARTRIDGE
15034,,,,
15035,Assistant Art Production,Assistant Art Production,Assistant Art Production,Assistant Art Production
15036,CHRIS KOSEL,CHRIS KOSEL,CHRIS KOSEL,CHRIS KOSEL
15037,,,,
15038,Capture Scripts,Capture Scripts,Capture Scripts,Capture Scripts
15039,DAVID K GOODMAN,DAVID K GOODMAN,DAVID K GOODMAN,DAVID K GOODMAN
15040,STEVE HUTCHINS,STEVE HUTCHINS,STEVE HUTCHINS,STEVE HUTCHINS
15041,DON LAABS,DON LAABS,DON LAABS,DON LAABS
15042,VICKI SIDLEY,VICKI SIDLEY,VICKI SIDLEY,VICKI SIDLEY
15043,,,,
15044,Storyboard and Character Art,Storyboard and Character Art,Storyboard and Character Art,Storyboard and Character Art
15045,ERICA BENSON,ERICA BENSON,ERICA BENSON,ERICA BENSON
15046,TANSY BROOKS,TANSY BROOKS,TANSY BROOKS,TANSY BROOKS
15047,CESAR DE CASTRO,CESAR DE CASTRO,CESAR DE CASTRO,CESAR DE CASTRO
15048,JEFF GRIFFEATH,JEFF GRIFFEATH,JEFF GRIFFEATH,JEFF GRIFFEATH
15049,DAN GUERRA,DAN GUERRA,DAN GUERRA,DAN GUERRA
15050,,,,
15051,Background Art,Background Art,Background Art,Background Art
15052,DAN GUERRA,DAN GUERRA,DAN GUERRA,DAN GUERRA
15053,,,,
15054,Principal Animation,Principal Animation,Principal Animation,Principal Animation
15055,CARTOONLAND ®,CARTOONLAND ®,CARTOONLAND ®,CARTOONLAND ®
15056,,,,
15057,Animation Director,Animation Director,Animation Director,Animation Director
15058,KEVIN COFFEY,KEVIN COFFEY,KEVIN COFFEY,KEVIN COFFEY
15059,,,,
15060,Animators,Animators,Animators,Animators
15061,ARNIE WONG,ARNIE WONG,ARNIE WONG,ARNIE WONG
15062,STEVEN LEE,STEVEN LEE,STEVEN LEE,STEVEN LEE
15063,STEWARD LEE,STEWARD LEE,STEWARD LEE,STEWARD LEE
15064,MIKE SMITH,MIKE SMITH,MIKE SMITH,MIKE SMITH
15065,J. GARRETT SHELDREW,J. GARRETT SHELDREW,J. GARRETT SHELDREW,J. GARRETT SHELDREW
15066,ROBBIN ATHERLEY,ROBBIN ATHERLEY,ROBBIN ATHERLEY,ROBBIN ATHERLEY
15067,,,,
15068,Animation Assistants,Animation Assistants,Animation Assistants,Animation Assistants
15069,DONNA MANKUS,DONNA MANKUS,DONNA MANKUS,DONNA MANKUS
15070,JOANNE HAFNER,JOANNE HAFNER,JOANNE HAFNER,JOANNE HAFNER
15071,LEIGH CROW,LEIGH CROW,LEIGH CROW,LEIGH CROW
15072,KEVIN ANDERSON,KEVIN ANDERSON,KEVIN ANDERSON,KEVIN ANDERSON
15073,LUKE LONGIN,LUKE LONGIN,LUKE LONGIN,LUKE LONGIN
15074,GENE HAMM,GENE HAMM,GENE HAMM,GENE HAMM
15075,BETH SEGAL,BETH SEGAL,BETH SEGAL,BETH SEGAL
15076,SHAWN MURRAY,SHAWN MURRAY,SHAWN MURRAY,SHAWN MURRAY
15077,,,,
15078,Digital Ink and Paint,Digital Ink and Paint,Digital Ink and Paint,Digital Ink and Paint
15079,SIDLEY WRIGHT AND ASSOCIATES,SIDLEY WRIGHT AND ASSOCIATES,SIDLEY WRIGHT AND ASSOCIATES,SIDLEY WRIGHT AND ASSOCIATES
15080,,,,
15081,Effects/Touch-up Artists,Effects/Touch-up Artists,Effects/Touch-up Artists,Effects/Touch-up Artists
15082,PETER DAVIS,PETER DAVIS,PETER DAVIS,PETER DAVIS
15083,DAVID GALE,DAVID GALE,DAVID GALE,DAVID GALE
15084,DUNCAN KNARR,DUNCAN KNARR,DUNCAN KNARR,DUNCAN KNARR
15085,ARMEN PETROSIAN,ARMEN PETROSIAN,ARMEN PETROSIAN,ARMEN PETROSIAN
15086,WENDY PIUCK,WENDY PIUCK,WENDY PIUCK,WENDY PIUCK
15087,BRAD REYNOLDS,BRAD REYNOLDS,BRAD REYNOLDS,BRAD REYNOLDS
15088,JOHN ROOT,JOHN ROOT,JOHN ROOT,JOHN ROOT
15089,JOSE A. SCARPITTA,JOSE A. SCARPITTA,JOSE A. SCARPITTA,JOSE A. SCARPITTA
15090,STEFANIE SMITH,STEFANIE SMITH,STEFANIE SMITH,STEFANIE SMITH
15091,DAVID WEISMAN,DAVID WEISMAN,DAVID WEISMAN,DAVID WEISMAN
15092,KENT PARTRIDGE,KENT PARTRIDGE,KENT PARTRIDGE,KENT PARTRIDGE
15093,,,,
15094,"VP, Software Development","VP, Software Development","VP, Software Development","VP, Software Development"
15095,DON LAABS,DON LAABS,DON LAABS,DON LAABS
15096,,,,
15097,"Sr. VP, Marketing","Sr. VP, Marketing","Sr. VP, Marketing","Sr. VP, Marketing"
15098,MARK BEAUMONT,MARK BEAUMONT,MARK BEAUMONT,MARK BEAUMONT
15099,,,,
15100,Documentation,Documentation,Documentation,Documentation
15101,ANNE SCHWIMER,ANNE SCHWIMER,ANNE SCHWIMER,ANNE SCHWIMER
15102,,,,
15103,Package Design,Package Design,Package Design,Package Design
15104,JULIE LIPPOLD,JULIE LIPPOLD,JULIE LIPPOLD,JULIE LIPPOLD
15105,RUTH WESTON,RUTH WESTON,RUTH WESTON,RUTH WESTON
15106,,,,
15107,Installation Program,Installation Program,Installation Program,Installation Program
15108,G R E N O ,G R E N O ,G R E N O ,G R E N O 
15109,,,,
15110,Foreign Language Support,Foreign Language Support,Foreign Language Support,Foreign Language Support
15111,AL DYNARSKI,AL DYNARSKI,AL DYNARSKI,AL DYNARSKI
15112,BENJAMIN VON NAGEL,BENJAMIN VON NAGEL,BENJAMIN VON NAGEL,BENJAMIN VON NAGEL
15113,,,,
15114,Quality Assurance,Quality Assurance,Quality Assurance,Quality Assurance
15115,CHRIS GAFFIELD,CHRIS GAFFIELD,CHRIS GAFFIELD,CHRIS GAFFIELD
15116,LISA CARR,LISA CARR,LISA CARR,LISA CARR
15117,MASON NUGENT,MASON NUGENT,MASON NUGENT,MASON NUGENT
15118,ROB VANCE,ROB VANCE,ROB VANCE,ROB VANCE
15119,SAUNDRA MCCALL,SAUNDRA MCCALL,SAUNDRA MCCALL,SAUNDRA MCCALL
15120,GLEN HENDRICKSON,GLEN HENDRICKSON,GLEN HENDRICKSON,GLEN HENDRICKSON
15121,RAUL CHIRINOS,RAUL CHIRINOS,RAUL CHIRINOS,RAUL CHIRINOS
15122,KEN PINCKERT,KEN PINCKERT,KEN PINCKERT,KEN PINCKERT
15123,CRAIG BRISGEL,CRAIG BRISGEL,CRAIG BRISGEL,CRAIG BRISGEL
15124,,,,
15125,Music Arrangement & Original Music,Music Arrangement & Original Music,Music Arrangement & Original Music,Music Arrangement & Original Music
15126,"PETER STONE,","PETER STONE,","PETER STONE,","PETER STONE,"
15127,INDESCRIBABLE CREATIONS,INDESCRIBABLE CREATIONS,INDESCRIBABLE CREATIONS,INDESCRIBABLE CREATIONS
15128,,,,
15129,Principal Music Composed by,Principal Music Composed by,Principal Music Composed by,Principal Music Composed by
15130,JOHN WILLIAMS,JOHN WILLIAMS,JOHN WILLIAMS,JOHN WILLIAMS
15131,,,,
15132,Voice-Over Production,Voice-Over Production,Voice-Over Production,Voice-Over Production
15133,DMP ENTERTAINMENT,DMP ENTERTAINMENT,DMP ENTERTAINMENT,DMP ENTERTAINMENT
15134,,,,
15135,Additional Character Voices,Additional Character Voices,Additional Character Voices,Additional Character Voices
15136,DAVID K GOODMAN,DAVID K GOODMAN,DAVID K GOODMAN,DAVID K GOODMAN
15137,BECCA 'TAKE THAT' MARTINSON,BECCA 'TAKE THAT' MARTINSON,BECCA 'TAKE THAT' MARTINSON,BECCA 'TAKE THAT' MARTINSON
15138,ANDY IVERSON,ANDY IVERSON,ANDY IVERSON,ANDY IVERSON
15139,BOB COOPER,BOB COOPER,BOB COOPER,BOB COOPER
15140,,,,
15141,Film Sound Effects Courtesy of,Film Sound Effects Courtesy of,Film Sound Effects Courtesy of,Film Sound Effects Courtesy of
15142,LUCASFILM LTD,LUCASFILM LTD,LUCASFILM LTD,LUCASFILM LTD
15143,,,,
15144,Other Sound Effects,Other Sound Effects,Other Sound Effects,Other Sound Effects
15145,DAVID K GOODMAN,DAVID K GOODMAN,DAVID K GOODMAN,DAVID K GOODMAN
15146,,,,
15147,Audio Production,Audio Production,Audio Production,Audio Production
15148,STEPHEN 'wav' HUTCHINS,STEPHEN 'wav' HUTCHINS,STEPHEN 'wav' HUTCHINS,STEPHEN 'wav' HUTCHINS
15149,,,,
15150,Star Wars Characters Created by,Star Wars Characters Created by,Star Wars Characters Created by,Star Wars Characters Created by
15151,GEORGE LUCAS,GEORGE LUCAS,GEORGE LUCAS,GEORGE LUCAS
15152,,,,
15153,Star Wars Characters licensed from,Star Wars Characters licensed from,Star Wars Characters licensed from,Star Wars Characters licensed from
15154,LUCAS ARTS,LUCAS ARTS,LUCAS ARTS,LUCAS ARTS
15155,ENTERTAINMENT COMPANY,ENTERTAINMENT COMPANY,ENTERTAINMENT COMPANY,ENTERTAINMENT COMPANY
15156,,,,
15157,Director of Merchandising,Director of Merchandising,Director of Merchandising,Director of Merchandising
15158,"JULIA RUSSO, LUCASFILM, LTD.","JULIA RUSSO, LUCASFILM, LTD.","JULIA RUSSO, LUCASFILM, LTD.","JULIA RUSSO, LUCASFILM, LTD."
15159,,,,
15160,,,,
15161,Chess Consultant,Chess Consultant,Chess Consultant,Chess Consultant
15162,DON LAABS,DON LAABS,DON LAABS,DON LAABS
15163,,,,
15164,Special Thanks to,Special Thanks to,Special Thanks to,Special Thanks to
15165,PHIL DAVIDSON,PHIL DAVIDSON,PHIL DAVIDSON,PHIL DAVIDSON
15166,JOYCE DOMIKE,JOYCE DOMIKE,JOYCE DOMIKE,JOYCE DOMIKE
15167,DAVE GRENEWETZKI,DAVE GRENEWETZKI,DAVE GRENEWETZKI,DAVE GRENEWETZKI
15168,DAVID PLATSHON,DAVID PLATSHON,DAVID PLATSHON,DAVID PLATSHON
15169,STACEY MOLLEMA,STACEY MOLLEMA,STACEY MOLLEMA,STACEY MOLLEMA
15170,DON BIES,DON BIES,DON BIES,DON BIES
15171,&,&,&,&
15172,ROBIN DELEY,ROBIN DELEY,ROBIN DELEY,ROBIN DELEY
15173,,,,
15174,,,,
15175,,,,
15176,,,,
15177,,,,
15178,,,,
15179,,,,
15180,STAR WARS CHESS,STAR WARS CHESS,STAR WARS CHESS,STAR WARS CHESS
15181,,,,
15182,Copyright © MCMXCIII,Copyright © MCMXCIII,Copyright © MCMXCIII,Copyright © MCMXCIII
15183,,,,
15184,,,,
15185,,,,
15186,,,,
15187,,,,
15188,THE END,THE END,THE END,THE END
15189,,,,
15190,,,,
15191,,,,
15192,,,,
15193,,,,
15194,,,,
15195,,,,
15196,,,,
15197,,,,
15198,,,,
15199,,,,
32768,,,,
32769,,,,
32770,,,,
32771,,,,
32772,,,,
32773,no progress DRAW,sans issue: partie nulle,REMIS - KEIN FORTSCHRITT,"TABLAS,JUEGO NO TIENE FIN"
32774,Third repetition DRAW,COUP 3 FOIS: Partie nulle,DRITTER WIEDERHOLUNGSZUG,"TABLAS,TERCERA REPETICION"
32775,Not enough pieces for game,insuffisance en pieces,SIEG UNMÖGLICH,MATERIAL INSUFICIENTE
32776,Check!,echec,SCHACH!,JAQUE!
32777,Black was mated!,fin: les noirs sont mat,SCHWARZ IST SCHACHMATT,NEGRA FUE ELIMINADA!
32778,White was mated!,fin: les blancs sont mat,WEISS IST SCHACHMATT,BLANCA FUE ELIMINADA!
32779,Stalemate!,impasse,PATT!,MATE EMPATADO!
32780,,,,
32781,,,,
32782,,,,
32783,,,,
32784,,,,
32785,,,,
32786,no progress DRAW,sans issue: partie nulle,REMIS - KEIN FORTSCHRITT,"TABLAS,JUEGO NO TIENE FIN"
32787,,,,
32788,,,,
32789,,,,
32790,,,,
32791,,,,
32792,,,,
32793,,,,
32794,,,,
32795,,,,
32796,,,,
32797,,,,
32798,,,,
32799,,,,
33024,,,,
33025,,,,
33026,There is no piece there,case sans piece,KEINE FIGUR VORHANDEN,NO HAY PIEZA ALLI
33027,opponent's piece,piece de l'adversaire,GEGNERISCHE FIGUR,PIEZA DEL OPONENTE
33028,It is not your turn,ce n'est pas a vous de jouer,SIE SIND NICHT DRAN,NO ES SU TURNO
33029,It is White's turn,c'est aux blancs de jouer,WEISS IST AM ZUG,TURNO DE LAS BLANCAS
33030,It is Black's turn,c'est aux noirs de jouer,SCHWARZ IST AM ZUG,TURNO DE LAS NEGRAS
33031,Rook moved - No Castle,pas de roque: tour deplacee,TURM BEWEGT - KEINE ROCHADE,"MOVIO TORRE,ENROQUE ILEGAL "
33032,piece between King & Rook,piece entre roi et tour,FIGUR ZW. KÖNIG UND TURM,PIEZA ENTRE REY Y TORRE
33033,No castle through check,roquer impossible,KEINE ROCHADE DURCH SCHACH,ENROQUE LO PONE EN JAQUE
33034,No castle in check,roquer impossible: echec,KEINE ROCHADE IM SCHACH,NO PUEDE ENROCAR EN JAQUE
33035,King moved - No castle,pas de roque: roi deplace,KÖNIG BEWEGT - KEINE ROCHADE,"MOVIO REY, ENROQUE ILEGAL"
33036,Rook moved - NO CASTLE,PAS DE ROQUE: TOUR DEPLACEE,TURM BEWEGT - KEINE ROCHADE,"MOVIO TORRE,ENROQUE ILEGAL"
33037,Rook moved - NO CASTLE,PAS DE ROQUE TOUR DEPLACEE,TURM BEWEGT - KEINE ROCHADE,"MOVIO TORRE,ENROQUE ILEGAL"
33038,King moves 1 space,le roi bouge d'une case,KÖNIG GEHT 1 FELD WEITER,REY SE MUEVE UNA CASILLA
33039,Can't capture your piece,PAS DE CAPTURE DE VOTRE PIECE,IHRE FIGUR - NICHT SCHLAGEN,NO PUEDE TOMAR SU PIEZA
33040,Your King is in check,Votre roi est en echec,KÖNIG IST IM SCHACH,REY ESTO EN JAQUE!
33041,Can't move King into check, ILLEGAL: ROI EN ECHEC,K. zieht NICHT IN SCHACH,NO PUEDE PONERSE EN JAQUE
33042,Queen moves any direction,COUP ILLEGAL De la reine,KÖNIGIN zieht IN JEDE RICHTUNG,REINA MUEVE CUALQUIER SENTIDO
33043,Your Queen is blocked,VOTRE REINE EST BLOQUEE,IHRE KÖNIGIN IST BLOCKIERT,SU REINA ESTA BLOQUEADA
33044,Can't capture your piece,PAS DE CAPTURE DE VOTRE PIECE,IHRE FIGUR - NICHT SCHLAGEN,NO PUEDE TOMAR SU PIEZA
